"Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10"
"ADM","ADM.","ADM","A.D.M.","ADMIRAL","ADMIRAAL","ADML","","",""
"ATTY","ATTY.","ATTY","ATTORNEY","","","","","",""
"BSHP","BP.","BP","BISHOP","BSHP.","BSHP","","","",""
"BRO","BR.","BR","BROTHER","BRO","BRTHR","BRO.","","",""
"CNON","CANON","CNON.","CNON","","","","","",""
"CAPT","CAPT.","CAPT","CAPTAIN","CPT","","","","",""
"CMDR","CDR.","CDR","COMMANDER","CMDR","CMDR.","","","",""
"CHPN","CHAPLAIN","CHPN.","CHPN","","","","","",""
"COL","COL.","COL","COLONEL","KOLONEL","","","","",""
"CPL","CPL.","CPL","CORPORAL","","","","","",""
"CWO","CWO","C.W.O.","CHIEF WARRANT OFFICER","","","","","",""
"DR","DR.","DR","DOCTOR","DR;M","","","","",""
"ENS","ENS.","ENS","ENSIGN","","","","","",""
"FR","FR.","FR","FATHER","","","","","",""
"GEN","GEN.","GEN","GENERAL","GENERAAL","","","","",""
"HON","HON.","HON","HONORABLE","","","","","",""
"JDG","JUDGE","JDG","JDG.","","","","","",""
"LT","LT.","LT","LIEUTENANT","LIEUT","","","","",""
"LTCL","LT. COL.","LT COL","LTCOL","LTC","LIEUTENANT COLONEL","LIEUTENANT-COLONEL","LIEUT COL","LCOL","LTCL."
"MME","MADAME","MME","MDM","MADAM","","","","",""
"MAJ","MAJ.","MAJ","MAJOR","MJR","","","","",""
"MISS","MISS","","","","","","","",""
"MR","MR.","MR","MSTR","MISTER","MR;S","MR;J","","",""
"MRS","MRS","MISSES","MISSUS","MRS.","","","MSTR.","",""
"MS","MS","MS.","","","","","","",""
"MSGR","MSGR.","MSGR","MONSIGNOR","MONS","","","","",""
"MSGT","MSGT","MSGT","M SGT","MASTER SERGEANT","","","","",""
"PROF","PROF","PROFESSOR","PRF","","","","","",""
"PVT","PVT.","PVT","PRIVATE","","","","","",""
"RADM","RADM","R ADM","REAR ADMIRAL","REAR-ADMIRAL","RADM.","","","",""
"REP","REP.","REP","REPRESENTATIVE","","","","","",""
"REV","REV.","REV","REVEREND","","","","","",""
"RTRV","RIGHT REVEREND","RIGHT REV","RTR","RTRV.","RTRV","","","",""
"SEN","SEN.","SEN","SENATOR","","","","","",""
"SR","SENOR","SR.","SR","","","","","",""
"SGTM","SGTM.","SGTM","MASTER SERGEANT","","","","","",""
"SGT","SGT.","SGT","SERGEANT","","","","","",""
"SIR","SIR","","","","","","","",""
"LTCM","LTCM.","LT. CDR.","LT CDR","LTCDR","LCDR","LIEUTENANT COMMANDER","LIEUTENANT-COMMANDER","LIEUT CDR","LTCM"
"RB","RB.","RB","RABBI","","","","","",""