"column1","column2","column3","column4","column5"
"AL","AL","","",""
"AN","AN","","",""
"BIN","BIN","","",""
"DE","DE","","",""
"DEL","DEL","","",""
"DEN","DEN","","",""
"DER","DER","","",""
"DES","DES","","",""
"DI","DI","","",""
"EL","EL","","",""
"LA","LA","","",""
"LE","LE","","",""
"MAC","MAC","","",""
"MC","MC","","",""
"NI","NI","","",""
"NIC","NIC","","",""
"NIC AN","NIC AN","","",""
"O'","O'","","",""
"SAINT","SAINT","SAINT-","",""
"ST","ST","ST-","ST.",""
"UI","UI","","",""
"VAN","VAN","","",""
"VANDEN","VANDEN","","",""
"VANDER","VANDER","","",""
"VEN","VEN","","",""
"VON","VON","","",""